device_id,logged_at,co2_mg,co2_ppm,h2s_ppb,h2s_ug,humidity,leq,light,no2_ppb,no2_ug,no_ppb,no_ug,o3_ppb,o3_ug,pm1,pm10,pm100,pm25,pressure,so2_ppb,so2_ug,temperature
24169,2024-02-10 16:15:00,855.6167,447.2,20.84,30.8762,90.5,56.6,305.75,21.74,43.4806,37.45,48.8589,3.12,6.5106,13.7,12.9,13.1,12.3,989.36,5.07,14.1209,0.8
24169,2024-02-10 16:30:00,849.5286,444.0,21.67,32.1072,90.7,56.8,282.99,19.79,39.5821,36.87,48.1042,5.4,11.2688,13.9,13.4,13.6,12.7,989.4,4.36,12.1439,0.8
24169,2024-02-10 16:45:00,854.1033,446.4,21.67,32.1065,90.9,57.3,259.13,23.3,46.6016,37.57,49.0165,1.35,2.8171,16.3,15.4,15.6,14.8,989.38,4.96,13.8148,0.8
24169,2024-02-10 17:00:00,862.1393,450.6,22.39,33.1733,90.9,56.4,132.05,22.84,45.6815,37.35,48.7294,2.27,4.737,16.7,15.6,15.8,15.1,989.38,4.28,11.9208,0.8
24169,2024-02-10 17:15:00,849.4402,443.9,21.74,32.2148,90.9,56.6,16.74,22.4,44.8078,37.49,48.919,2.71,5.656,16.8,15.7,15.9,15.2,989.52,4.46,12.4239,0.8
24169,2024-02-10 17:30:00,852.2312,445.3,21.8,32.308,91.1,59.2,0.0,21.51,43.0332,37.11,48.4295,2.57,5.3645,16.2,15.1,15.2,14.7,989.65,4.35,12.1191,0.8
24169,2024-02-10 17:45:00,857.3977,447.9,21.37,31.6777,91.3,57.9,0.0,22.44,44.9037,36.57,47.7354,3.47,7.2447,16.6,15.1,15.3,14.9,989.87,5.14,14.3232,0.8
24169,2024-02-10 18:00:00,850.6377,444.4,21.06,31.216,91.4,57.8,0.0,21.45,42.9197,36.79,48.0192,3.78,7.8914,16.1,14.5,14.7,14.4,989.8,4.75,13.2355,0.8
24169,2024-02-10 18:15:00,849.5149,443.8,21.53,31.9136,91.3,56.8,0.0,21.75,43.5213,36.31,47.3941,3.94,8.2256,16.9,15.4,15.6,15.1,989.83,4.91,13.6817,0.8
24169,2024-02-10 18:30:00,866.7426,452.8,21.53,31.9136,91.4,57.0,0.0,22.95,45.9224,37.05,48.36,2.94,6.1379,16.9,15.2,15.6,14.9,989.83,4.81,13.4031,0.8
24169,2024-02-10 18:45:00,863.5936,451.0,22.12,32.7994,91.4,57.0,0.0,22.43,44.8973,36.38,47.5018,2.55,5.3255,11.6,10.7,10.9,10.5,990.17,4.6,12.8223,0.8
24169,2024-02-10 19:00:00,858.9893,448.6,21.15,31.3608,91.5,57.8,0.0,21.48,42.9953,36.08,47.1096,3.34,6.9753,9.8,9.2,9.3,8.9,990.16,4.42,12.3205,0.8
24169,2024-02-10 19:15:00,853.2879,445.6,21.73,32.2224,91.7,57.6,0.0,20.33,40.6955,36.12,47.1642,5.47,11.4242,10.0,9.4,9.6,9.2,990.21,4.34,12.0981,0.8
24169,2024-02-10 19:30:00,855.3943,446.7,21.73,32.2224,91.8,56.4,0.0,22.38,44.7991,37.36,48.7834,3.13,6.5371,10.0,9.9,9.6,9.7,990.21,0.0,0.0,0.8
24169,2024-02-10 19:45:00,843.1389,440.3,22.13,32.8156,91.9,56.3,0.0,22.44,44.9192,37.32,48.7312,0.0,0.0,11.0,10.4,10.6,10.2,990.21,5.35,14.9135,0.8
24169,2024-02-10 20:00:00,859.0587,448.6,21.01,31.1557,91.9,56.3,0.0,22.89,45.8213,36.71,47.9361,3.47,7.2474,11.9,11.4,11.5,11.1,990.24,5.22,14.5516,0.8
24169,2024-02-10 20:15:00,856.2035,447.1,20.8,30.8449,92.2,56.1,0.0,20.21,40.4573,35.4,46.2264,5.63,11.759,12.8,12.6,12.7,12.1,990.26,5.15,14.3567,0.8
24169,2024-02-10 20:30:00,849.4924,443.6,20.97,31.0967,92.3,55.9,0.0,21.18,42.3987,35.68,46.5916,4.89,10.2133,12.9,12.7,12.9,12.4,990.25,4.73,13.1858,0.8
24169,2024-02-10 20:45:00,863.0194,450.6,21.48,31.8575,92.5,56.0,0.0,21.47,42.9853,35.97,46.9769,4.67,9.7552,13.0,12.9,13.2,12.6,990.39,4.4,12.2676,0.8
24169,2024-02-10 21:00:00,862.7217,450.6,21.93,32.5137,92.5,56.3,0.0,19.75,39.528,36.14,47.1826,5.32,11.1092,12.5,12.6,12.8,12.5,990.41,4.56,12.7093,0.9
24169,2024-02-10 21:15:00,840.2447,438.7,21.93,32.5256,92.5,56.1,0.0,19.64,39.3222,36.6,47.8007,5.84,12.1995,12.5,12.9,12.8,12.8,990.41,4.91,13.6898,0.8
24169,2024-02-10 21:30:00,848.2251,443.1,21.75,32.2416,92.8,56.3,0.0,20.88,41.7829,36.24,47.3056,4.66,9.7294,13.4,14.3,14.5,14.4,990.25,6.05,16.8594,0.9
24169,2024-02-10 21:45:00,859.7369,449.1,21.96,32.5539,92.8,56.3,0.0,21.07,42.1644,37.26,48.6385,4.58,9.5626,13.7,14.9,15.2,15.2,990.28,4.82,13.4322,0.9
24169,2024-02-10 22:00:00,848.4267,443.3,22.61,33.5093,92.9,56.2,0.0,20.79,41.5939,36.94,48.209,3.67,7.6608,14.4,16.0,16.6,16.3,990.4,5.4,15.0448,1.0
24169,2024-02-10 22:15:00,850.4093,444.3,0.0,0.0,92.9,56.1,0.0,20.9,41.8173,36.42,47.5342,4.18,8.7261,14.8,16.5,16.8,16.9,990.48,5.21,14.5166,1.0
